================================================
  NLOC    CCN   token  PARAM  length  location  
------------------------------------------------
      21      4     97      2      24 vms_realfilesize@158-181@src/tool_operate.c
      12      3     49      2      12 VmsSpecialSize@189-200@src/tool_operate.c
      18      3     79      1      23 add_per_transfer@211-233@src/tool_operate.c
      21      3     87      1      26 del_per_transfer@237-262@src/tool_operate.c
      53     17    334      2      81 pre_transfer@264-344@src/tool_operate.c
      10      5     68      2      11 AmigaSetComment@347-357@src/tool_operate.c
      17      4     88      1      19 single_transfer_cleanup@365-383@src/tool_operate.c
     221    100   1376      5     312 post_per_transfer@388-699@src/tool_operate.c
      35     11    197      3      40 url_proto@704-743@src/tool_operate.c
    1109    359   7054      5    1506 single_transfer@746-2251@src/tool_operate.c
      61     16    380      5      70 add_parallel_transfers@2260-2329@src/tool_operate.c
     110     38    591      2     133 parallel_transfers@2331-2463@src/tool_operate.c
      64     20    330      2      81 serial_transfers@2465-2545@src/tool_operate.c
      75     20    386      4     106 transfer_per_config@2548-2653@src/tool_operate.c
      16      4     78      3      17 create_transfer@2659-2675@src/tool_operate.c
      26      5    140      3      39 run_all_transfers@2677-2715@src/tool_operate.c
      77     25    443      3     111 operate@2717-2827@src/tool_operate.c
      40     15    248      1      52 get_libcurl_info@137-188@src/tool_libinfo.c
      10      4     52      1      11 proto_token@198-208@src/tool_libinfo.c
      46     10    318      4      63 tool_read_cb@46-108@src/tool_cb_rea.c
      16      3     88      5      19 tool_readbusy_cb@114-132@src/tool_cb_rea.c
      26      6    131      1      31 stripcredentials@51-81@src/tool_xattr.c
      20      8    124      3      28 xattr@83-110@src/tool_xattr.c
      20      7    133      3      22 fwrite_xattr@114-135@src/tool_xattr.c
      23      6    152      3      23 checkhome@68-90@src/tool_findfile.c
      50     19    294      2      56 findfile@102-157@src/tool_findfile.c
      25     11    105      2      35 show_dir_errno@48-82@src/tool_dirhie.c
      49     14    278      2      69 create_dir_hierarchy@99-167@src/tool_dirhie.c
      24      8    247      2      46 max5data@36-81@src/tool_progress.c
      20      3     95      5      23 xferinfo_cb@83-105@src/tool_progress.c
      24      4    190      2      26 time2str@109-134@src/tool_progress.c
     130     23    688      3     150 progress_meter@157-306@src/tool_progress.c
      13      3     63      1      14 progress_finalize@308-321@src/tool_progress.c
      44      7    254      3      53 getfiletime@36-88@src/tool_filetime.c
      51     10    342      3      64 setfiletime@91-154@src/tool_filetime.c
      41     14    298      2      57 c_escape@207-263@src/tool_setopt.c
      27     10    162      6      36 tool_setopt_enum@266-301@src/tool_setopt.c
      33     10    213      6      42 tool_setopt_bitmask@304-345@src/tool_setopt.c
      21      3    122      2      25 libcurl_generate_slist@348-372@src/tool_setopt.c
      90     25    493      4     108 libcurl_generate_mime_part@380-487@src/tool_setopt.c
      20      2    110      4      24 libcurl_generate_mime@490-513@src/tool_setopt.c
      15      4     90      5      18 tool_setopt_mimepost@516-533@src/tool_setopt.c
      15      5     87      5      19 tool_setopt_slist@536-554@src/tool_setopt.c
      91     21    502      7     112 tool_setopt@558-669@src/tool_setopt.c
      42     18    128      1      42 param2text@43-84@src/tool_helpers.c
      20      3     87      3      23 SetHTTPrequest@86-108@src/tool_helpers.c
      23      4     95      3      25 customrequest_helper@110-134@src/tool_helpers.c
      45     15    258      4      47 jsonquoted@41-87@src/tool_writeout_json.c
      12      3     87      3      13 jsonWriteString@89-101@src/tool_writeout_json.c
      14      4    116      4      19 ourWriteOutJSON@103-121@src/tool_writeout_json.c
      43      9    266      2      46 headerJSON@128-173@src/tool_writeout_json.c
       4      1     10      1       5 tool_init_stderr@33-37@src/tool_stderr.c
      22      5    103      2      33 tool_set_stderr_file@39-71@src/tool_stderr.c
      13      3     68      1      17 strdup@27-43@src/tool_strdup.c
      29      5    272      2      33 fly@79-111@src/tool_cb_prg.c
      73     20    457      5      93 tool_progress_cb@126-218@src/tool_cb_prg.c
      44     18    288      2      61 progressbarinit@220-280@src/tool_cb_prg.c
      19      6    116      1      24 ensure_trailing_slash@38-61@src/tool_ipfs.c
      52     18    285      1      72 ipfs_gateway@63-134@src/tool_ipfs.c
     123     28    636      4     157 ipfs_url_rewrite@140-296@src/tool_ipfs.c
       6      3     33      1      12 set_binmode@40-51@src/tool_binmode.c
      82     24    479      2      95 tool_create_output_file@54-148@src/tool_cb_wrt.c
     185     74   1227      4     232 tool_write_cb@154-385@src/tool_cb_wrt.c
      39      8    213      4      46 voutf@39-84@src/tool_msgs.c
       8      2     48      3       8 notef@90-97@src/tool_msgs.c
       7      1     42      3       7 warnf@104-110@src/tool_msgs.c
      15      3     79      3      17 helpf@115-131@src/tool_msgs.c
       9      3     55      3       9 errorf@137-145@src/tool_msgs.c
      21      9    129      3      43 tool_seek_cb@50-92@src/tool_cb_see.c
       9      3     53      2      12 tool_ftruncate64@108-119@src/tool_cb_see.c
      21      5    138      2      28 execpath@50-77@src/tool_parsecfg.c
     153     60    810      2     206 parseconfig@82-287@src/tool_parsecfg.c
      31      9    118      2      33 unslashquote@296-328@src/tool_parsecfg.c
      15      5     89      3      19 my_get_line@333-351@src/tool_parsecfg.c
      23      8    169      1      25 print_category@79-103@src/tool_help.c
      11      3     80      1      11 get_category_content@106-116@src/tool_help.c
       6      2     45      1       6 get_categories@119-124@src/tool_help.c
      21      5     95      1      26 tool_help@127-152@src/tool_help.c
       8      3     41      1       8 is_debug@154-161@src/tool_help.c
      29     10    174      1      35 tool_version_info@163-197@src/tool_help.c
      16      3     80      1      21 tool_list_engines@199-219@src/tool_help.c
